latitude_longitude right distance added,latitude_longitude left distance added
10.0066597 76.37429520345349,10.0066597 76.37383859654652
10.0064289 76.3742206032912,10.0064289 76.37376399670879
10.0060826 76.37414310304774,10.0060826 76.37368649695225
10.0057735 76.37422570283043,10.0057735 76.37376909716956
10.0055107 76.37430230264567,10.0055107 76.37384569735431
10.0053456 76.37436210252962,10.0053456 76.37390549747037
10.0051303 76.37443490237827,10.0051303 76.37397829762172
10.0051196 76.37442450237076,10.0051196 76.37396789762924
10.005042 76.3742438023162,10.005042 76.3737871976838
10.0050196 76.37407590230046,10.0050196 76.37361929769955
10.004987 76.37392430227753,10.004987 76.37346769772246
10.0049127 76.37372340222531,10.0049127 76.37326679777469
10.0048249 76.3735548021636,10.0048249 76.37309819783641
10.0047433 76.37333040210623,10.0047433 76.37287379789376
10.0047113 76.37325540208374,10.0047113 76.37279879791626
10.0045402 76.37302270196346,10.0045402 76.37256609803654
10.0042774 76.37264460177875,10.0042774 76.37218799822125
10.004033 76.37231910160695,10.004033 76.37186249839304
10.0038038 76.37194120144586,10.0038038 76.37148459855415
10.0036186 76.3715345013157,10.0036186 76.37107789868432
10.0035548 76.37123180127084,10.0035548 76.37077519872916
10.0035359 76.37092160125756,10.0035359 76.37046499874243
10.0035618 76.37083510127577,10.0035618 76.37037849872424
10.0035765 76.3708286012861,10.0035765 76.3703719987139
10.0035859 76.3708151012927,10.0035859 76.37035849870729
10.0036048 76.37078480130599,10.0036048 76.37032819869403
10.003607 76.37078420130753,10.003607 76.37032759869247
10.0035875 76.37075140129383,10.0035875 76.37029479870617
10.0035786 76.37077600128758,10.0035786 76.37031939871243
10.0035761 76.37078380128581,10.0035761 76.37032719871418
10.003576 76.37078410128575,10.003576 76.37032749871426
10.0036307 76.37073000132419,10.0036307 76.37027339867582
10.0038392 76.37051780147074,10.0038392 76.37006119852926
10.004111 76.37023750166178,10.004111 76.36978089833822
10.004342 76.36999940182415,10.004342 76.36954279817584
10.0045031 76.36981440193739,10.0045031 76.36935779806262
10.0046943 76.36959980207179,10.0046943 76.36914319792821
10.0049034 76.36940430221877,10.0049034 76.36894769778122
10.0050863 76.36920190234734,10.0050863 76.36874529765267
10.0052377 76.36899440245378,10.0052377 76.36853779754622
10.0055205 76.36876220265258,10.0055205 76.36830559734743
10.005793 76.36855350284415,10.005793 76.36809689715585
10.0060833 76.36829080304823,10.0060833 76.36783419695176
10.0062293 76.36798530315087,10.0062293 76.36752869684912
10.0063157 76.36771260321163,10.0063157 76.36725599678837
10.0064317 76.36749910329317,10.0064317 76.36704249670683
10.0066114 76.36733460341952,10.0066114 76.36687799658048
10.0068492 76.36718350358672,10.0068492 76.3667268964133
10.0070756 76.3670588037459,10.0070756 76.3666021962541
10.0073088 76.36696160390987,10.0073088 76.36650499609014
10.007597 76.3669045041125,10.007597 76.3664478958875
