latitude,longitude
10.018,76.34986
10.018,76.34986
10.018,76.349859
10.018,76.349858
10.018,76.349858
10.018,76.349858
10.018,76.349857
10.018001,76.349855
10.018001,76.349855
10.018001,76.349853
10.018001,76.349853
10.018002,76.349852
10.018002,76.349851
10.018002,76.349852
10.018002,76.349852
10.018001,76.349853
10.018001,76.349853
10.018002,76.34985
10.018002,76.349848
10.018003,76.349846
10.018004,76.349843
10.018004,76.349841
10.018005,76.349838
10.018006,76.349835
10.018008,76.349824
10.018009,76.349819
10.01801,76.349816
10.018011,76.349812
10.018012,76.349808
10.018013,76.349805
10.018013,76.349802
10.018014,76.349799
10.018015,76.349794
10.018016,76.34979
10.018018,76.349784
10.018018,76.349743
10.018017,76.34974
10.018016,76.349734
10.018014,76.349725
10.018013,76.349721
10.018012,76.349716
10.018012,76.349713
10.018009,76.349699
10.018008,76.349693
10.018006,76.349681
10.018002,76.349664
10.018,76.349653
10.017999,76.349648
10.017998,76.34964
10.01773,76.349691
10.017726,76.349672
10.017725,76.349667
10.017724,76.349663
10.017723,76.349657
10.017721,76.34965
10.017719,76.349638
10.017718,76.349636
10.017717,76.349631
10.017716,76.349626
10.017716,76.349624
10.017715,76.349622
10.017715,76.349619
10.017714,76.349614
10.017713,76.34961
10.01771,76.349595
10.017708,76.349588
10.017706,76.349576
10.017704,76.349569
10.017703,76.349561
10.017702,76.349557
10.017699,76.349545
10.017698,76.349542
10.017697,76.349536
10.017697,76.349533
10.017965,76.349469
10.017964,76.349463
10.017962,76.349456
10.017961,76.349451
10.01796,76.349443
10.017956,76.349425
10.017955,76.349421
10.017954,76.349415
10.017682,76.349467
10.017681,76.349461
10.01768,76.349455
10.017678,76.349448
10.017676,76.349437
10.017674,76.349429
10.017673,76.349424
10.017673,76.349422
10.017672,76.34942
10.017669,76.349407
10.017668,76.349402
10.017667,76.349396
10.017664,76.349383
10.017664,76.349379
10.017663,76.349377
10.017663,76.349376
10.017662,76.34937
10.017661,76.349365
10.01766,76.349361
10.017659,76.349359
10.017657,76.34935
10.017658,76.349351
10.017658,76.349354
10.017659,76.349358
10.01766,76.349363
10.017661,76.349368
10.017662,76.349373
10.017664,76.349383
10.017665,76.349386
10.017666,76.349392
